ID,Treatment,Gradient,Pop,Population,Genotype,EarlyGrowth,Specific_Leaf_Area (SLA),Stomata,Flowering,Growth,Runnering,Elevation,Nheight,Slope,North_to_South
TC11_11,Wet,Montoulieu,TC,Tournac,TC11,2.575,53.292,20,2.339,4.987,3.008,1021,0.535,25.54,80.538
LC06_08,Normal,Sourroque,LC,Lacourt,LC06,2.791,64.686,24,3.942,2.993,3.007,489,0.211,6.063,146.31
F02_09,Normal,Grave,F,Freaux,F02,3.078,48.312,16,1.112,3.664,3.002,1409,0.194,29.362,9.545
AT11_01,Dry,Sourroque,AT,Ates,AT11,3.665,45.874,32,1.849,1.338,2.99,750,0.422,13.803,6.34
F09_08,Normal,Grave,F,Freaux,F09,3.945,53.975,19,0.263,5.368,2.981,1409,0.194,29.362,9.545
SX02_11,Wet,Montoulieu,SX,Seignaux,SX02,3.366,55.206,19,3.292,8.06,2.978,840,0.729,23.294,134.076
G01_07,Normal,Grave,G,Grave,G01,3.305,44.447,21,2.174,3.725,2.953,1471,0.075,8.946,3.576
SQ10_13,Wet,Sourroque,SQ,Sourroque,SQ10,2.732,57.066,14,3.785,3.387,2.952,927,0.236,23.743,33.158
AT09_08,Normal,Sourroque,AT,Ates,AT09,3.618,54.309,22,1.339,3.388,2.952,750,0.422,13.803,6.34
AT13_12,Wet,Sourroque,AT,Ates,AT13,3.813,48.933,24,1.006,6.441,2.95,750,0.422,13.803,6.34
AT16_11,Wet,Sourroque,AT,Ates,AT16,3.651,48.668,22,1.171,11.195,2.948,750,0.422,13.803,6.34
G01_08,Normal,Grave,G,Grave,G01,3.889,64.399,23,1.047,4.411,2.947,1471,0.075,8.946,3.576
SQ16_09,Normal,Sourroque,SQ,Sourroque,SQ16,3.42,46.723,30,1.675,4.092,2.933,927,0.236,23.743,33.158
TP02_10,Normal,Sourroque,TP,Toupi,TP02,3.564,55.022,19,1.214,6.148,2.928,1184,0.985,8.623,119.055
G10_10,Normal,Grave,G,Grave,G10,3.907,65.643,24,0.992,4.442,2.927,1471,0.075,8.946,3.576
AT11_04,Dry,Sourroque,AT,Ates,AT11,3.072,46.06,23,1.895,1.714,2.917,750,0.422,13.803,6.34
